1.4.1.3	R00243
1.4.1.14	R00243
1.2.1.88	R00245
1.4.1.3	R00248
1.4.1.4	R00248
1.4.1.13	R00248
1.4.3.11	R00250
3.5.2.9	R00251
6.3.1.2	R00253
3.5.1.87	R00254
1.4.1.13	R00256
1.4.1.14	R00256
1.4.7.1	R00256
2.6.1.85	R00256
6.3.5.1	R00257
2.6.1.2	R00258
2.3.1.1	R00259
5.1.1.3	R00260
4.1.1.15	R00261
5.4.99.1	R00262
1.2.1.3	R00264
1.2.1.26	R00264
1.2.1.52	R00265
1.1.1.42	R00267
1.1.1.42	R00268
3.5.1.3	R00269
3.5.1.111	R00269
2.3.3.14	R00271
4.1.1.71	R00272
1.2.3.4	R00273
1.11.1.9	R00274
1.15.1.1	R00275
1.4.3.5	R00277
1.4.3.5	R00278
1.4.3.7	R00279
1.4.3.15	R00279
1.7.2.1	R00280
1.6.99.1	R00282
1.3.7.8	R00283
1.7.99.1	R00284
1.1.1.22	R00286
3.6.1.9	R00287
3.6.1.45	R00287
2.7.7.9	R00289
2.7.7.64	R00289
5.1.3.2	R00291
2.4.1.11	R00292
2.4.1.242	R00292
4.2.1.76	R00293
1.7.2.5	R00294
1.8.1.22	R00295
1.1.99.6	R00297
1.1.99.2	R00298
2.7.1.1	R00299
2.7.1.2	R00299
1.1.1.118	R00300
1.1.1.121	R00300
1.1.1.119	R00301
1.1.3.10	R00302
3.1.3.9	R00303
3.1.3.58	R00303
3.1.3.10	R00304
1.1.5.9	R00305
3.2.1.21	R00306
3.2.1.74	R00306
5.3.1.5	R00307
3.2.1.39	R00308
3.2.1.58	R00308
4.98.1.1	R00310
1.14.14.18	R00311
2.7.2.1	R00315
2.7.2.15	R00315
6.2.1.1	R00316
3.6.1.7	R00317
3.11.1.2	R00318
1.13.12.4	R00319
2.7.2.12	R00320
3.5.1.4	R00321
3.6.1.20	R00322
3.7.1.6	R00324
4.1.3.22	R00325
1.2.99.6	R00326
3.1.1.33	R00327
3.6.1.5	R00328
3.6.1.6	R00328
3.6.1.42	R00328
3.6.1.6	R00329
2.7.4.6	R00330
2.7.4.6	R00331
2.7.4.8	R00332
2.7.4.10	R00333
2.7.4.4	R00334
3.6.1.5	R00335
3.6.5.1	R00335
3.6.5.2	R00335
3.6.5.3	R00335
3.1.7.2	R00336
3.2.1.42	R00337
3.7.1.1	R00338
4.2.1.32	R00339
4.2.1.81	R00340
4.1.1.49	R00341
1.1.1.37	R00342
1.1.1.299	R00342
1.1.1.82	R00343
1.1.1.299	R00343
6.4.1.1	R00344
4.1.1.31	R00345
4.1.1.38	R00346
4.3.1.20	R00347
3.5.1.3	R00348
4.1.3.17	R00350
2.3.3.1	R00351
2.3.3.3	R00351
2.3.3.5	R00351
2.3.3.16	R00351
2.3.3.8	R00352
2.1.3.1	R00353
4.1.3.34	R00354
2.6.1.1	R00355
1.4.3.2	R00357
1.4.3.16	R00357
1.4.3.1	R00359
1.4.3.15	R00359
1.1.5.4	R00360
1.1.5.4	R00361
4.1.3.6	R00362
5.3.2.2	R00363
1.4.2.1	R00364
1.4.1.1	R00365
1.4.1.10	R00365
1.4.3.3	R00366
1.4.3.19	R00366
2.1.1.20	R00367
2.1.1.156	R00367
2.1.1.162	R00367
1.5.1.22	R00368
2.6.1.44	R00369
2.3.1.29	R00371
2.6.1.4	R00372
2.6.1.44	R00372
2.6.1.35	R00373
1.4.99.5	R00374
2.7.7.7	R00375
2.7.7.7	R00376
2.7.7.7	R00377
2.7.7.7	R00378
2.7.7.7	R00379
2.7.7.31	R00379
2.7.7.49	R00379
2.1.1.37	R00380
6.5.1.1	R00381
6.5.1.6	R00381
6.5.1.7	R00381
6.5.1.2	R00382
6.5.1.6	R00382
3.1.2.18	R00383
3.1.2.19	R00383
3.1.2.20	R00383
1.3.1.44	R00384
1.3.1.8	R00385
1.3.1.37	R00387
1.3.3.6	R00388
6.2.1.2	R00389
6.2.1.3	R00390
2.3.1.16	R00391
1.3.8.7	R00392
1.3.8.8	R00392
2.8.3.8	R00393
6.2.1.10	R00394
2.3.1.13	R00395
1.4.1.1	R00396
4.1.1.12	R00397
1.5.1.17	R00398
2.3.1.263	R00399
2.6.1.12	R00400
5.1.1.1	R00401
1.3.1.6	R00402
6.2.1.5	R00405
2.8.3.22	R00406
3.1.2.3	R00407
4.1.3.30	R00409
2.8.3.5	R00410
3.5.1.96	R00411
1.3.99.-	R00412
3.2.1.183	R00414
5.1.3.14	R00414
2.7.7.23	R00416
2.4.1.94	R00417
5.1.3.2	R00418
5.1.3.7	R00418
5.1.3.14	R00420
1.1.1.136	R00421
3.5.4.16	R00424
3.5.4.25	R00425
3.6.1.9	R00426
3.5.4.16	R00428
2.7.6.5	R00429
2.7.1.40	R00430
4.1.1.32	R00431
6.2.1.4	R00432
4.6.1.1	R00434
4.6.1.2	R00434
2.7.7.6	R00435
2.7.7.19	R00435
2.7.7.48	R00435
6.5.1.3	R00436
2.7.7.8	R00437
2.7.7.8	R00438
2.7.7.8	R00439
2.7.7.8	R00440
2.7.7.6	R00441
2.7.7.48	R00441
2.7.7.6	R00442
2.7.7.48	R00442
2.7.7.6	R00443
2.7.7.48	R00443
2.7.7.52	R00443
2.7.7.6	R00444
2.7.7.48	R00444
1.4.1.15	R00445
1.4.1.18	R00446
1.4.3.14	R00447
1.14.13.59	R00448
1.13.12.2	R00449
4.1.1.20	R00451
1.5.1.16	R00452
2.6.1.71	R00453
2.3.1.306	R00454
2.6.1.36	R00457
3.5.1.17	R00458
5.1.1.5	R00460
5.1.1.10	R00460
5.4.3.2	R00461
4.1.1.18	R00462
3.5.2.11	R00463
1.1.1.79	R00465
1.2.3.5	R00466
1.2.1.17	R00468
3.5.1.116	R00469
4.1.3.16	R00470
4.1.3.42	R00470
4.1.3.16	R00471
2.3.3.9	R00472
4.1.3.24	R00473
2.2.1.5	R00474
1.1.3.15	R00475
1.1.99.14	R00476
4.1.3.13	R00477
4.1.3.14	R00478
4.1.3.1	R00479
2.7.2.4	R00480
1.4.3.16	R00481
6.3.1.4	R00482
6.3.1.1	R00483
6.3.5.4	R00483
3.5.1.7	R00484
3.5.1.1	R00485
3.5.1.38	R00485
3.5.5.4	R00485
3.5.5.4	R00486
2.3.1.17	R00487
3.5.1.15	R00488
4.1.1.11	R00489
4.1.1.15	R00489
4.3.1.1	R00490
5.1.1.13	R00491
2.6.1.-	R00493
3.4.19.13	R00494
6.3.2.3	R00497
3.1.2.13	R00499
1.1.1.-	R00501
2.7.7.10	R00502
2.7.7.64	R00502
2.4.1.22	R00503
2.7.8.18	R00504
5.4.99.9	R00505
2.4.1.-	R00506
3.6.2.2	R00507
3.1.3.7	R00508
2.7.1.25	R00509
3.2.2.10	R00510
3.1.3.5	R00511
3.1.3.91	R00511
3.1.3.-	R00511
2.7.4.14	R00512
2.7.4.25	R00512
2.7.1.48	R00513
2.7.1.213	R00513
3.6.1.5	R00514
3.6.1.9	R00515
3.6.1.65	R00515
3.6.1.-	R00515
2.7.1.48	R00517
2.7.2.6	R00518
1.17.1.9	R00519
3.1.2.10	R00521
4.1.1.2	R00522
3.5.1.49	R00524
3.5.1.68	R00525
3.5.1.8	R00526
3.5.1.15	R00526
3.1.2.12	R00527
1.8.2.1	R00528
2.7.7.4	R00529
2.7.7.5	R00530
3.6.2.1	R00531
4.3.1.10	R00532
1.8.3.1	R00533
3.1.6.3	R00534
2.8.2.15	R00535
2.8.2.15	R00536
2.8.2.15	R00537
1.2.1.3	R00538
1.2.1.5	R00538
3.6.1.7	R00539
